date,year,month,week_number,district,state,total_opd,fever_opd,diarrhea_opd,respiratory_opd,other_opd
2015-03-03,2015,3,10,Ariyalur,Tamil Nadu,117,47,11,19,40
2015-03-04,2015,3,10,Ariyalur,Tamil Nadu,193,72,29,25,67
2015-03-05,2015,3,10,Ariyalur,Tamil Nadu,119,41,16,13,49
2015-03-06,2015,3,10,Ariyalur,Tamil Nadu,182,57,30,22,73
2015-03-07,2015,3,10,Ariyalur,Tamil Nadu,98,37,16,11,34
2015-03-09,2015,3,11,Ariyalur,Tamil Nadu,81,24,12,11,34
2015-03-10,2015,3,11,Ariyalur,Tamil Nadu,191,67,37,28,59
2015-03-11,2015,3,11,Ariyalur,Tamil Nadu,173,64,32,27,50
2015-03-12,2015,3,11,Ariyalur,Tamil Nadu,159,64,25,28,42
2015-03-13,2015,3,11,Ariyalur,Tamil Nadu,153,58,27,24,44
2015-03-14,2015,3,11,Ariyalur,Tamil Nadu,82,32,15,14,21
2015-03-16,2015,3,12,Ariyalur,Tamil Nadu,169,66,31,18,54
2015-03-17,2015,3,12,Ariyalur,Tamil Nadu,137,46,21,16,54
2015-03-18,2015,3,12,Ariyalur,Tamil Nadu,170,55,26,26,63
2015-03-19,2015,3,12,Ariyalur,Tamil Nadu,128,45,24,20,39
2015-03-20,2015,3,12,Ariyalur,Tamil Nadu,171,65,22,26,58
2015-03-21,2015,3,12,Ariyalur,Tamil Nadu,74,26,12,12,24
2015-03-23,2015,3,13,Ariyalur,Tamil Nadu,164,70,29,20,45
2015-03-24,2015,3,13,Ariyalur,Tamil Nadu,190,62,37,33,58
2015-03-25,2015,3,13,Ariyalur,Tamil Nadu,176,72,25,22,57
2015-03-26,2015,3,13,Ariyalur,Tamil Nadu,112,44,18,19,31
2015-03-27,2015,3,13,Ariyalur,Tamil Nadu,170,61,17,20,72
2015-03-28,2015,3,13,Ariyalur,Tamil Nadu,93,27,17,11,38
2015-03-30,2015,3,14,Ariyalur,Tamil Nadu,122,52,17,14,39
2015-03-31,2015,3,14,Ariyalur,Tamil Nadu,151,62,27,22,40
2015-04-01,2015,4,14,Ariyalur,Tamil Nadu,134,48,18,17,51
2015-04-02,2015,4,14,Ariyalur,Tamil Nadu,180,76,27,28,49
2015-04-03,2015,4,14,Ariyalur,Tamil Nadu,235,73,28,38,96
2015-04-04,2015,4,14,Ariyalur,Tamil Nadu,96,42,16,10,28
2015-04-06,2015,4,15,Ariyalur,Tamil Nadu,254,112,26,34,82
2015-04-07,2015,4,15,Ariyalur,Tamil Nadu,169,67,20,28,54
2015-04-08,2015,4,15,Ariyalur,Tamil Nadu,206,90,40,26,50
2015-04-09,2015,4,15,Ariyalur,Tamil Nadu,163,72,18,28,45
2015-04-10,2015,4,15,Ariyalur,Tamil Nadu,228,97,30,23,78
2015-04-11,2015,4,15,Ariyalur,Tamil Nadu,133,55,22,17,39
2015-04-13,2015,4,16,Ariyalur,Tamil Nadu,205,91,23,31,60
2015-04-14,2015,4,16,Ariyalur,Tamil Nadu,248,90,31,40,87
2015-04-15,2015,4,16,Ariyalur,Tamil Nadu,170,62,27,26,55
2015-04-16,2015,4,16,Ariyalur,Tamil Nadu,218,72,22,31,93
2015-04-17,2015,4,16,Ariyalur,Tamil Nadu,206,74,37,22,73
2015-04-18,2015,4,16,Ariyalur,Tamil Nadu,107,38,17,13,39
2015-04-20,2015,4,17,Ariyalur,Tamil Nadu,238,81,37,25,95
2015-04-21,2015,4,17,Ariyalur,Tamil Nadu,196,70,28,25,73
2015-04-22,2015,4,17,Ariyalur,Tamil Nadu,273,106,42,29,96
2015-04-23,2015,4,17,Ariyalur,Tamil Nadu,249,80,27,41,101
2015-04-24,2015,4,17,Ariyalur,Tamil Nadu,275,100,45,29,101
2015-04-25,2015,4,17,Ariyalur,Tamil Nadu,169,63,32,18,56
2015-04-27,2015,4,18,Ariyalur,Tamil Nadu,301,133,38,48,82
2015-04-28,2015,4,18,Ariyalur,Tamil Nadu,129,46,14,20,49
2015-04-29,2015,4,18,Ariyalur,Tamil Nadu,201,84,31,23,63
2015-04-30,2015,4,18,Ariyalur,Tamil Nadu,160,65,31,17,47
2015-05-01,2015,5,18,Ariyalur,Tamil Nadu,304,133,50,39,82
2015-05-02,2015,5,18,Ariyalur,Tamil Nadu,91,38,9,16,28
2015-05-04,2015,5,19,Ariyalur,Tamil Nadu,214,95,30,29,60
2015-05-05,2015,5,19,Ariyalur,Tamil Nadu,139,51,26,20,42
2015-05-06,2015,5,19,Ariyalur,Tamil Nadu,179,77,23,23,56
2015-05-07,2015,5,19,Ariyalur,Tamil Nadu,137,45,20,13,59
2015-05-08,2015,5,19,Ariyalur,Tamil Nadu,183,63,18,28,74
2015-05-09,2015,5,19,Ariyalur,Tamil Nadu,121,46,19,17,39
2015-05-11,2015,5,20,Ariyalur,Tamil Nadu,177,68,21,20,68
2015-05-12,2015,5,20,Ariyalur,Tamil Nadu,262,87,43,26,106
2015-05-13,2015,5,20,Ariyalur,Tamil Nadu,171,59,27,23,62
2015-05-14,2015,5,20,Ariyalur,Tamil Nadu,113,43,15,15,40
2015-05-15,2015,5,20,Ariyalur,Tamil Nadu,190,84,32,23,51
2015-05-16,2015,5,20,Ariyalur,Tamil Nadu,85,34,14,9,28
2015-05-18,2015,5,21,Ariyalur,Tamil Nadu,165,53,25,25,62
2015-05-19,2015,5,21,Ariyalur,Tamil Nadu,257,115,43,30,69
2015-05-20,2015,5,21,Ariyalur,Tamil Nadu,270,113,40,34,83
2015-05-21,2015,5,21,Ariyalur,Tamil Nadu,245,83,35,28,99
2015-05-22,2015,5,21,Ariyalur,Tamil Nadu,158,51,24,23,60
2015-05-23,2015,5,21,Ariyalur,Tamil Nadu,144,61,20,22,41
2015-05-25,2015,5,22,Ariyalur,Tamil Nadu,260,97,42,31,90
2015-05-26,2015,5,22,Ariyalur,Tamil Nadu,244,102,31,29,82
2015-05-27,2015,5,22,Ariyalur,Tamil Nadu,177,58,27,21,71
2015-05-28,2015,5,22,Ariyalur,Tamil Nadu,251,76,33,43,99
2015-05-29,2015,5,22,Ariyalur,Tamil Nadu,162,49,19,25,69
2015-05-30,2015,5,22,Ariyalur,Tamil Nadu,179,74,22,29,54
2015-06-01,2015,6,23,Ariyalur,Tamil Nadu,237,85,47,23,82
2015-06-02,2015,6,23,Ariyalur,Tamil Nadu,173,72,34,26,41
2015-06-03,2015,6,23,Ariyalur,Tamil Nadu,272,119,32,46,75
2015-06-04,2015,6,23,Ariyalur,Tamil Nadu,147,50,26,23,48
2015-06-05,2015,6,23,Ariyalur,Tamil Nadu,205,86,30,21,68
2015-06-06,2015,6,23,Ariyalur,Tamil Nadu,99,35,18,14,32
2015-06-08,2015,6,24,Ariyalur,Tamil Nadu,229,81,34,33,81
2015-06-09,2015,6,24,Ariyalur,Tamil Nadu,191,83,21,24,63
2015-06-10,2015,6,24,Ariyalur,Tamil Nadu,146,60,24,16,46
2015-06-11,2015,6,24,Ariyalur,Tamil Nadu,171,61,18,19,73
2015-06-12,2015,6,24,Ariyalur,Tamil Nadu,268,104,51,36,77
2015-06-13,2015,6,24,Ariyalur,Tamil Nadu,132,46,25,15,46
2015-06-15,2015,6,25,Ariyalur,Tamil Nadu,176,53,28,23,72
2015-06-16,2015,6,25,Ariyalur,Tamil Nadu,210,83,21,27,79
2015-06-17,2015,6,25,Ariyalur,Tamil Nadu,215,96,22,32,65
2015-06-18,2015,6,25,Ariyalur,Tamil Nadu,135,55,13,15,52
2015-06-19,2015,6,25,Ariyalur,Tamil Nadu,293,106,53,35,99
2015-06-20,2015,6,25,Ariyalur,Tamil Nadu,139,60,24,16,39
2015-06-22,2015,6,26,Ariyalur,Tamil Nadu,203,66,26,33,78
2015-06-23,2015,6,26,Ariyalur,Tamil Nadu,142,58,18,24,42
2015-06-24,2015,6,26,Ariyalur,Tamil Nadu,156,66,24,23,43
2015-06-25,2015,6,26,Ariyalur,Tamil Nadu,186,58,32,33,63
2015-06-26,2015,6,26,Ariyalur,Tamil Nadu,130,39,13,18,60
2015-06-27,2015,6,26,Ariyalur,Tamil Nadu,94,31,15,10,38
2015-06-29,2015,6,27,Ariyalur,Tamil Nadu,198,76,32,30,60
2015-06-30,2015,6,27,Ariyalur,Tamil Nadu,128,50,17,19,42
2015-07-01,2015,7,27,Ariyalur,Tamil Nadu,246,108,26,32,80
2015-07-02,2015,7,27,Ariyalur,Tamil Nadu,214,96,33,24,61
2015-07-03,2015,7,27,Ariyalur,Tamil Nadu,178,59,26,26,67
2015-07-04,2015,7,27,Ariyalur,Tamil Nadu,102,40,14,11,37
2015-07-06,2015,7,28,Ariyalur,Tamil Nadu,124,47,18,18,41
2015-07-07,2015,7,28,Ariyalur,Tamil Nadu,136,46,22,19,49
2015-07-08,2015,7,28,Ariyalur,Tamil Nadu,212,78,24,36,74
2015-07-09,2015,7,28,Ariyalur,Tamil Nadu,152,47,21,17,67
2015-07-10,2015,7,28,Ariyalur,Tamil Nadu,292,118,54,47,73
2015-07-11,2015,7,28,Ariyalur,Tamil Nadu,95,42,18,14,21
2015-07-13,2015,7,29,Ariyalur,Tamil Nadu,131,52,15,18,46
2015-07-14,2015,7,29,Ariyalur,Tamil Nadu,217,96,30,37,54
2015-07-15,2015,7,29,Ariyalur,Tamil Nadu,140,49,24,19,48
2015-07-16,2015,7,29,Ariyalur,Tamil Nadu,104,32,16,11,45
2015-07-17,2015,7,29,Ariyalur,Tamil Nadu,139,59,26,20,34
2015-07-18,2015,7,29,Ariyalur,Tamil Nadu,171,76,33,26,36
2015-07-20,2015,7,30,Ariyalur,Tamil Nadu,162,71,19,16,56
2015-07-21,2015,7,30,Ariyalur,Tamil Nadu,178,60,24,27,67
2015-07-22,2015,7,30,Ariyalur,Tamil Nadu,195,60,38,25,72
2015-07-23,2015,7,30,Ariyalur,Tamil Nadu,238,81,34,34,89
2015-07-24,2015,7,30,Ariyalur,Tamil Nadu,188,82,32,20,54
2015-07-25,2015,7,30,Ariyalur,Tamil Nadu,119,42,14,20,43
2015-07-27,2015,7,31,Ariyalur,Tamil Nadu,209,79,28,31,71
2015-07-28,2015,7,31,Ariyalur,Tamil Nadu,138,42,17,22,57
2015-07-29,2015,7,31,Ariyalur,Tamil Nadu,209,69,33,22,85
2015-07-30,2015,7,31,Ariyalur,Tamil Nadu,168,68,26,20,54
2015-07-31,2015,7,31,Ariyalur,Tamil Nadu,196,80,31,26,59
2015-08-01,2015,8,31,Ariyalur,Tamil Nadu,51,18,6,6,21
2015-08-03,2015,8,32,Ariyalur,Tamil Nadu,104,34,19,16,35
2015-08-04,2015,8,32,Ariyalur,Tamil Nadu,172,58,30,24,60
2015-08-05,2015,8,32,Ariyalur,Tamil Nadu,116,40,12,11,53
2015-08-06,2015,8,32,Ariyalur,Tamil Nadu,218,81,23,37,77
2015-08-07,2015,8,32,Ariyalur,Tamil Nadu,133,42,26,14,51
2015-08-08,2015,8,32,Ariyalur,Tamil Nadu,110,37,21,19,33
2015-08-10,2015,8,33,Ariyalur,Tamil Nadu,134,60,18,23,33
2015-08-11,2015,8,33,Ariyalur,Tamil Nadu,75,32,14,9,20
2015-08-12,2015,8,33,Ariyalur,Tamil Nadu,174,67,33,26,48
2015-08-13,2015,8,33,Ariyalur,Tamil Nadu,113,38,18,12,45
2015-08-14,2015,8,33,Ariyalur,Tamil Nadu,96,34,13,14,35
2015-08-15,2015,8,33,Ariyalur,Tamil Nadu,71,31,10,12,18
2015-08-17,2015,8,34,Ariyalur,Tamil Nadu,88,38,11,11,28
2015-08-18,2015,8,34,Ariyalur,Tamil Nadu,125,45,23,17,40
2015-08-19,2015,8,34,Ariyalur,Tamil Nadu,119,51,14,12,42
2015-08-20,2015,8,34,Ariyalur,Tamil Nadu,183,72,33,18,60
2015-08-21,2015,8,34,Ariyalur,Tamil Nadu,192,64,29,25,74
2015-08-22,2015,8,34,Ariyalur,Tamil Nadu,61,24,12,8,17
2015-08-24,2015,8,35,Ariyalur,Tamil Nadu,208,80,30,28,70
2015-08-25,2015,8,35,Ariyalur,Tamil Nadu,194,72,35,29,58
2015-08-26,2015,8,35,Ariyalur,Tamil Nadu,82,29,10,8,35
2015-08-27,2015,8,35,Ariyalur,Tamil Nadu,134,42,21,20,51
2015-08-28,2015,8,35,Ariyalur,Tamil Nadu,150,51,26,25,48
2015-08-29,2015,8,35,Ariyalur,Tamil Nadu,77,33,10,10,24
2015-08-31,2015,8,36,Ariyalur,Tamil Nadu,169,67,25,29,48
2015-09-01,2015,9,36,Ariyalur,Tamil Nadu,127,50,15,21,41
2015-09-02,2015,9,36,Ariyalur,Tamil Nadu,122,52,23,21,26
2015-09-03,2015,9,36,Ariyalur,Tamil Nadu,188,78,24,20,66
2015-09-04,2015,9,36,Ariyalur,Tamil Nadu,127,42,13,14,58
2015-09-05,2015,9,36,Ariyalur,Tamil Nadu,80,28,10,13,29
2015-09-07,2015,9,37,Ariyalur,Tamil Nadu,98,40,10,12,36
2015-09-08,2015,9,37,Ariyalur,Tamil Nadu,215,92,35,37,51
2015-09-09,2015,9,37,Ariyalur,Tamil Nadu,96,38,10,16,32
2015-09-10,2015,9,37,Ariyalur,Tamil Nadu,178,54,33,25,66
2015-09-11,2015,9,37,Ariyalur,Tamil Nadu,130,43,15,19,53
2015-09-12,2015,9,37,Ariyalur,Tamil Nadu,99,37,19,15,28
2015-09-14,2015,9,38,Ariyalur,Tamil Nadu,98,37,18,15,28
2015-09-15,2015,9,38,Ariyalur,Tamil Nadu,110,46,16,14,34
2015-09-16,2015,9,38,Ariyalur,Tamil Nadu,118,37,22,20,39
2015-09-17,2015,9,38,Ariyalur,Tamil Nadu,94,28,17,12,37
2015-09-18,2015,9,38,Ariyalur,Tamil Nadu,159,70,22,17,50
2015-09-19,2015,9,38,Ariyalur,Tamil Nadu,89,26,16,14,33
2015-09-21,2015,9,39,Ariyalur,Tamil Nadu,140,47,22,16,55
2015-09-22,2015,9,39,Ariyalur,Tamil Nadu,106,38,12,16,40
2015-09-23,2015,9,39,Ariyalur,Tamil Nadu,113,44,13,13,43
2015-09-24,2015,9,39,Ariyalur,Tamil Nadu,91,33,11,13,34
2015-09-25,2015,9,39,Ariyalur,Tamil Nadu,153,53,22,23,55
2015-09-26,2015,9,39,Ariyalur,Tamil Nadu,46,19,7,4,16
2015-09-28,2015,9,40,Ariyalur,Tamil Nadu,154,68,24,17,45
2015-09-29,2015,9,40,Ariyalur,Tamil Nadu,85,33,9,14,29
2015-09-30,2015,9,40,Ariyalur,Tamil Nadu,174,64,31,21,58
2015-10-01,2015,10,40,Ariyalur,Tamil Nadu,236,78,31,38,89
2015-10-02,2015,10,40,Ariyalur,Tamil Nadu,364,110,36,51,167
2015-10-03,2015,10,40,Ariyalur,Tamil Nadu,179,60,24,26,69
2015-10-05,2015,10,41,Ariyalur,Tamil Nadu,194,82,25,27,60
2015-10-06,2015,10,41,Ariyalur,Tamil Nadu,190,73,27,26,64
2015-10-07,2015,10,41,Ariyalur,Tamil Nadu,289,99,51,44,95
2015-10-08,2015,10,41,Ariyalur,Tamil Nadu,224,87,25,26,86
2015-10-09,2015,10,41,Ariyalur,Tamil Nadu,281,99,29,33,120
2015-10-10,2015,10,41,Ariyalur,Tamil Nadu,212,88,29,29,66
2015-10-12,2015,10,42,Ariyalur,Tamil Nadu,196,87,37,22,50
2015-10-13,2015,10,42,Ariyalur,Tamil Nadu,280,123,47,48,62
2015-10-14,2015,10,42,Ariyalur,Tamil Nadu,122,45,21,17,39
2015-10-15,2015,10,42,Ariyalur,Tamil Nadu,205,79,22,20,84
2015-10-16,2015,10,42,Ariyalur,Tamil Nadu,336,131,47,45,113
2015-10-17,2015,10,42,Ariyalur,Tamil Nadu,111,38,17,17,39
2015-10-19,2015,10,43,Ariyalur,Tamil Nadu,140,44,22,24,50
2015-10-20,2015,10,43,Ariyalur,Tamil Nadu,285,107,31,44,103
2015-10-21,2015,10,43,Ariyalur,Tamil Nadu,285,107,33,43,102
2015-10-22,2015,10,43,Ariyalur,Tamil Nadu,274,115,46,38,75
2015-10-23,2015,10,43,Ariyalur,Tamil Nadu,142,49,22,19,52
2015-10-24,2015,10,43,Ariyalur,Tamil Nadu,125,40,15,21,49
2015-10-26,2015,10,44,Ariyalur,Tamil Nadu,214,68,33,26,87
2015-10-27,2015,10,44,Ariyalur,Tamil Nadu,185,60,35,24,66
2015-10-28,2015,10,44,Ariyalur,Tamil Nadu,171,75,23,21,52
2015-10-29,2015,10,44,Ariyalur,Tamil Nadu,220,91,23,27,79
2015-10-30,2015,10,44,Ariyalur,Tamil Nadu,166,63,29,23,51
2015-10-31,2015,10,44,Ariyalur,Tamil Nadu,179,80,32,23,44
2015-11-02,2015,11,45,Ariyalur,Tamil Nadu,175,54,18,28,75
2015-11-03,2015,11,45,Ariyalur,Tamil Nadu,302,131,53,54,64
2015-11-04,2015,11,45,Ariyalur,Tamil Nadu,128,56,23,19,30
2015-11-05,2015,11,45,Ariyalur,Tamil Nadu,315,119,52,51,93
2015-11-06,2015,11,45,Ariyalur,Tamil Nadu,335,140,50,51,94
2015-11-07,2015,11,45,Ariyalur,Tamil Nadu,158,56,15,24,63
2015-11-09,2015,11,46,Ariyalur,Tamil Nadu,228,69,35,35,89
2015-11-10,2015,11,46,Ariyalur,Tamil Nadu,162,69,16,26,51
2015-11-11,2015,11,46,Ariyalur,Tamil Nadu,188,63,28,33,64
2015-11-12,2015,11,46,Ariyalur,Tamil Nadu,190,58,22,28,82
2015-11-13,2015,11,46,Ariyalur,Tamil Nadu,336,100,55,36,145
2015-11-14,2015,11,46,Ariyalur,Tamil Nadu,233,71,32,29,101
2015-11-16,2015,11,47,Ariyalur,Tamil Nadu,160,60,31,23,46
2015-11-17,2015,11,47,Ariyalur,Tamil Nadu,243,89,45,43,66
2015-11-18,2015,11,47,Ariyalur,Tamil Nadu,216,77,26,22,91
2015-11-19,2015,11,47,Ariyalur,Tamil Nadu,218,66,27,38,87
2015-11-20,2015,11,47,Ariyalur,Tamil Nadu,408,178,56,66,108
2015-11-21,2015,11,47,Ariyalur,Tamil Nadu,133,46,22,13,52
2015-11-23,2015,11,48,Ariyalur,Tamil Nadu,341,135,55,59,92
2015-11-24,2015,11,48,Ariyalur,Tamil Nadu,270,82,47,48,93
2015-11-25,2015,11,48,Ariyalur,Tamil Nadu,185,74,32,27,52
2015-11-26,2015,11,48,Ariyalur,Tamil Nadu,257,90,27,28,112
2015-11-27,2015,11,48,Ariyalur,Tamil Nadu,301,100,59,41,101
2015-11-28,2015,11,48,Ariyalur,Tamil Nadu,113,35,18,17,43
2015-11-30,2015,11,49,Ariyalur,Tamil Nadu,252,75,42,35,100
2015-12-01,2015,12,49,Ariyalur,Tamil Nadu,246,89,30,43,84
2015-12-02,2015,12,49,Ariyalur,Tamil Nadu,161,50,19,25,67
2015-12-03,2015,12,49,Ariyalur,Tamil Nadu,274,82,35,29,128
2015-12-04,2015,12,49,Ariyalur,Tamil Nadu,284,109,31,38,106
2015-12-05,2015,12,49,Ariyalur,Tamil Nadu,202,78,24,27,73
2015-12-07,2015,12,50,Ariyalur,Tamil Nadu,222,89,39,28,66
2015-12-08,2015,12,50,Ariyalur,Tamil Nadu,359,155,48,42,114
2015-12-09,2015,12,50,Ariyalur,Tamil Nadu,247,89,42,31,85
2015-12-10,2015,12,50,Ariyalur,Tamil Nadu,205,79,24,24,78
2015-12-11,2015,12,50,Ariyalur,Tamil Nadu,346,110,42,41,153
2015-12-12,2015,12,50,Ariyalur,Tamil Nadu,207,68,31,26,82
2015-12-14,2015,12,51,Ariyalur,Tamil Nadu,218,80,37,25,76
2015-12-15,2015,12,51,Ariyalur,Tamil Nadu,248,90,30,34,94
2015-12-16,2015,12,51,Ariyalur,Tamil Nadu,322,137,59,35,91
2015-12-17,2015,12,51,Ariyalur,Tamil Nadu,375,145,61,60,109
2015-12-18,2015,12,51,Ariyalur,Tamil Nadu,204,74,20,29,81
2015-12-19,2015,12,51,Ariyalur,Tamil Nadu,119,49,22,18,30
2015-12-21,2015,12,52,Ariyalur,Tamil Nadu,245,81,38,31,95
2015-12-22,2015,12,52,Ariyalur,Tamil Nadu,269,84,27,39,119
2015-12-23,2015,12,52,Ariyalur,Tamil Nadu,234,71,34,24,105
2015-12-24,2015,12,52,Ariyalur,Tamil Nadu,229,99,32,27,71
2015-12-25,2015,12,52,Ariyalur,Tamil Nadu,192,85,36,25,46
2015-12-26,2015,12,52,Ariyalur,Tamil Nadu,160,60,30,19,51
2015-12-28,2015,12,53,Ariyalur,Tamil Nadu,267,80,33,38,116
2015-12-29,2015,12,53,Ariyalur,Tamil Nadu,268,83,37,36,112
2015-12-30,2015,12,53,Ariyalur,Tamil Nadu,230,94,26,40,70
2015-12-31,2015,12,53,Ariyalur,Tamil Nadu,273,99,50,48,76
2016-01-01,2016,1,53,Ariyalur,Tamil Nadu,174,77,18,24,55
2016-01-02,2016,1,53,Ariyalur,Tamil Nadu,89,39,10,10,30
2016-01-04,2016,1,1,Ariyalur,Tamil Nadu,225,80,39,38,68
2016-01-05,2016,1,1,Ariyalur,Tamil Nadu,211,91,39,33,48
2016-01-06,2016,1,1,Ariyalur,Tamil Nadu,127,49,12,22,44
2016-01-07,2016,1,1,Ariyalur,Tamil Nadu,186,80,20,30,56
2016-01-08,2016,1,1,Ariyalur,Tamil Nadu,142,43,24,24,51
2016-01-09,2016,1,1,Ariyalur,Tamil Nadu,80,34,15,9,22
2016-01-11,2016,1,2,Ariyalur,Tamil Nadu,178,67,26,21,64
2016-01-12,2016,1,2,Ariyalur,Tamil Nadu,133,57,15,20,41
2016-01-13,2016,1,2,Ariyalur,Tamil Nadu,197,64,35,21,77
2016-01-14,2016,1,2,Ariyalur,Tamil Nadu,189,79,19,29,62
2016-01-15,2016,1,2,Ariyalur,Tamil Nadu,240,80,32,40,88
2016-01-16,2016,1,2,Ariyalur,Tamil Nadu,139,45,22,22,50
2016-01-18,2016,1,3,Ariyalur,Tamil Nadu,175,55,19,18,83
2016-01-19,2016,1,3,Ariyalur,Tamil Nadu,201,73,24,29,75
2016-01-20,2016,1,3,Ariyalur,Tamil Nadu,186,57,27,31,71
2016-01-21,2016,1,3,Ariyalur,Tamil Nadu,116,49,13,18,36
2016-01-22,2016,1,3,Ariyalur,Tamil Nadu,179,58,34,18,69
2016-01-23,2016,1,3,Ariyalur,Tamil Nadu,122,39,15,14,54
2016-01-25,2016,1,4,Ariyalur,Tamil Nadu,151,49,20,20,62
2016-01-26,2016,1,4,Ariyalur,Tamil Nadu,164,70,29,19,46
2016-01-27,2016,1,4,Ariyalur,Tamil Nadu,263,89,51,36,87
2016-01-28,2016,1,4,Ariyalur,Tamil Nadu,179,76,21,27,55
2016-01-29,2016,1,4,Ariyalur,Tamil Nadu,201,60,30,31,80
2016-01-30,2016,1,4,Ariyalur,Tamil Nadu,82,35,15,9,23
2016-02-01,2016,2,5,Ariyalur,Tamil Nadu,111,35,18,14,44
2016-02-02,2016,2,5,Ariyalur,Tamil Nadu,168,73,22,19,54
2016-02-03,2016,2,5,Ariyalur,Tamil Nadu,212,69,26,33,84
2016-02-04,2016,2,5,Ariyalur,Tamil Nadu,146,44,23,25,54
2016-02-05,2016,2,5,Ariyalur,Tamil Nadu,257,78,41,40,98
2016-02-06,2016,2,5,Ariyalur,Tamil Nadu,105,46,18,18,23
2016-02-08,2016,2,6,Ariyalur,Tamil Nadu,169,56,27,20,66
2016-02-09,2016,2,6,Ariyalur,Tamil Nadu,124,52,15,16,41
