date,year,month,week_number,district,state,total_calls,fever_calls,accident_calls,cardiac_calls,other_calls
2015-03-15,2015,3,11,Ariyalur,Tamil Nadu,22,8,4,2,8
2015-03-16,2015,3,12,Ariyalur,Tamil Nadu,36,12,10,4,10
2015-03-17,2015,3,12,Ariyalur,Tamil Nadu,22,10,6,2,4
2015-03-18,2015,3,12,Ariyalur,Tamil Nadu,43,17,11,5,10
2015-03-19,2015,3,12,Ariyalur,Tamil Nadu,14,4,4,1,5
2015-03-20,2015,3,12,Ariyalur,Tamil Nadu,39,14,8,5,12
2015-03-21,2015,3,12,Ariyalur,Tamil Nadu,29,12,8,3,6
2015-03-22,2015,3,12,Ariyalur,Tamil Nadu,15,6,3,2,4
2015-03-23,2015,3,13,Ariyalur,Tamil Nadu,18,8,3,2,5
2015-03-24,2015,3,13,Ariyalur,Tamil Nadu,22,7,4,2,9
2015-03-25,2015,3,13,Ariyalur,Tamil Nadu,32,13,8,3,8
2015-03-26,2015,3,13,Ariyalur,Tamil Nadu,30,11,8,3,8
2015-03-27,2015,3,13,Ariyalur,Tamil Nadu,37,15,10,4,8
2015-03-28,2015,3,13,Ariyalur,Tamil Nadu,17,8,5,2,2
2015-03-29,2015,3,13,Ariyalur,Tamil Nadu,25,10,7,3,5
2015-03-30,2015,3,14,Ariyalur,Tamil Nadu,25,11,6,2,6
2015-03-31,2015,3,14,Ariyalur,Tamil Nadu,31,13,7,3,8
2015-04-01,2015,4,14,Ariyalur,Tamil Nadu,44,15,12,4,13
2015-04-02,2015,4,14,Ariyalur,Tamil Nadu,33,14,8,4,7
2015-04-03,2015,4,14,Ariyalur,Tamil Nadu,41,16,9,5,11
2015-04-04,2015,4,14,Ariyalur,Tamil Nadu,24,11,5,3,5
2015-04-05,2015,4,14,Ariyalur,Tamil Nadu,41,17,10,5,9
2015-04-06,2015,4,15,Ariyalur,Tamil Nadu,37,18,9,5,5
2015-04-07,2015,4,15,Ariyalur,Tamil Nadu,38,13,10,3,12
2015-04-08,2015,4,15,Ariyalur,Tamil Nadu,50,18,12,5,15
2015-04-09,2015,4,15,Ariyalur,Tamil Nadu,29,11,8,4,6
2015-04-10,2015,4,15,Ariyalur,Tamil Nadu,56,22,15,6,13
2015-04-11,2015,4,15,Ariyalur,Tamil Nadu,31,12,9,3,7
2015-04-12,2015,4,15,Ariyalur,Tamil Nadu,18,7,4,2,5
2015-04-13,2015,4,16,Ariyalur,Tamil Nadu,27,12,7,3,5
2015-04-14,2015,4,16,Ariyalur,Tamil Nadu,60,25,12,7,16
2015-04-15,2015,4,16,Ariyalur,Tamil Nadu,55,19,16,5,15
2015-04-16,2015,4,16,Ariyalur,Tamil Nadu,42,20,12,4,6
2015-04-17,2015,4,16,Ariyalur,Tamil Nadu,53,22,13,7,11
2015-04-18,2015,4,16,Ariyalur,Tamil Nadu,20,8,5,2,5
2015-04-19,2015,4,16,Ariyalur,Tamil Nadu,35,12,8,3,12
2015-04-20,2015,4,17,Ariyalur,Tamil Nadu,46,17,11,5,13
2015-04-21,2015,4,17,Ariyalur,Tamil Nadu,43,17,9,5,12
2015-04-22,2015,4,17,Ariyalur,Tamil Nadu,43,17,11,4,11
2015-04-23,2015,4,17,Ariyalur,Tamil Nadu,48,22,14,6,6
2015-04-24,2015,4,17,Ariyalur,Tamil Nadu,45,16,12,5,12
2015-04-25,2015,4,17,Ariyalur,Tamil Nadu,19,7,5,2,5
2015-04-26,2015,4,17,Ariyalur,Tamil Nadu,35,16,8,4,7
2015-04-27,2015,4,18,Ariyalur,Tamil Nadu,47,19,11,5,12
2015-04-28,2015,4,18,Ariyalur,Tamil Nadu,36,16,9,4,7
2015-04-29,2015,4,18,Ariyalur,Tamil Nadu,24,11,7,3,3
2015-04-30,2015,4,18,Ariyalur,Tamil Nadu,51,19,11,5,16
2015-05-01,2015,5,18,Ariyalur,Tamil Nadu,23,10,6,2,5
2015-05-02,2015,5,18,Ariyalur,Tamil Nadu,22,9,5,3,5
2015-05-03,2015,5,18,Ariyalur,Tamil Nadu,44,19,11,6,8
2015-05-04,2015,5,19,Ariyalur,Tamil Nadu,56,23,13,7,13
2015-05-05,2015,5,19,Ariyalur,Tamil Nadu,41,15,8,4,14
2015-05-06,2015,5,19,Ariyalur,Tamil Nadu,28,12,7,2,7
2015-05-07,2015,5,19,Ariyalur,Tamil Nadu,21,8,5,2,6
2015-05-08,2015,5,19,Ariyalur,Tamil Nadu,52,23,14,6,9
2015-05-09,2015,5,19,Ariyalur,Tamil Nadu,36,13,8,5,10
2015-05-10,2015,5,19,Ariyalur,Tamil Nadu,39,14,10,4,11
2015-05-11,2015,5,20,Ariyalur,Tamil Nadu,36,13,7,3,13
2015-05-12,2015,5,20,Ariyalur,Tamil Nadu,27,12,6,3,6
2015-05-13,2015,5,20,Ariyalur,Tamil Nadu,61,22,13,6,20
2015-05-14,2015,5,20,Ariyalur,Tamil Nadu,25,10,5,3,7
2015-05-15,2015,5,20,Ariyalur,Tamil Nadu,26,9,6,3,8
2015-05-16,2015,5,20,Ariyalur,Tamil Nadu,30,10,7,4,9
2015-05-17,2015,5,20,Ariyalur,Tamil Nadu,50,24,10,5,11
2015-05-18,2015,5,21,Ariyalur,Tamil Nadu,19,8,5,2,4
2015-05-19,2015,5,21,Ariyalur,Tamil Nadu,55,24,13,6,12
2015-05-20,2015,5,21,Ariyalur,Tamil Nadu,33,12,7,4,10
2015-05-21,2015,5,21,Ariyalur,Tamil Nadu,53,22,11,6,14
2015-05-22,2015,5,21,Ariyalur,Tamil Nadu,25,9,6,2,8
2015-05-23,2015,5,21,Ariyalur,Tamil Nadu,24,9,5,2,8
2015-05-24,2015,5,21,Ariyalur,Tamil Nadu,35,14,8,4,9
2015-05-25,2015,5,22,Ariyalur,Tamil Nadu,39,16,10,5,8
2015-05-26,2015,5,22,Ariyalur,Tamil Nadu,44,17,10,6,11
2015-05-27,2015,5,22,Ariyalur,Tamil Nadu,20,8,4,2,6
2015-05-28,2015,5,22,Ariyalur,Tamil Nadu,43,16,9,4,14
2015-05-29,2015,5,22,Ariyalur,Tamil Nadu,30,14,6,4,6
2015-05-30,2015,5,22,Ariyalur,Tamil Nadu,20,8,5,2,5
2015-05-31,2015,5,22,Ariyalur,Tamil Nadu,19,9,3,2,5
2015-06-01,2015,6,23,Ariyalur,Tamil Nadu,51,22,14,6,9
2015-06-02,2015,6,23,Ariyalur,Tamil Nadu,36,17,7,5,7
2015-06-03,2015,6,23,Ariyalur,Tamil Nadu,22,9,4,2,7
2015-06-04,2015,6,23,Ariyalur,Tamil Nadu,56,20,14,8,14
2015-06-05,2015,6,23,Ariyalur,Tamil Nadu,35,12,8,3,12
2015-06-06,2015,6,23,Ariyalur,Tamil Nadu,41,15,11,4,11
2015-06-07,2015,6,23,Ariyalur,Tamil Nadu,17,6,4,2,5
2015-06-08,2015,6,24,Ariyalur,Tamil Nadu,22,10,6,3,3
2015-06-09,2015,6,24,Ariyalur,Tamil Nadu,41,20,9,4,8
2015-06-10,2015,6,24,Ariyalur,Tamil Nadu,20,8,5,2,5
2015-06-11,2015,6,24,Ariyalur,Tamil Nadu,37,17,10,4,6
2015-06-12,2015,6,24,Ariyalur,Tamil Nadu,45,19,10,6,10
2015-06-13,2015,6,24,Ariyalur,Tamil Nadu,45,18,12,6,9
2015-06-14,2015,6,24,Ariyalur,Tamil Nadu,44,20,11,4,9
2015-06-15,2015,6,25,Ariyalur,Tamil Nadu,19,8,3,2,6
2015-06-16,2015,6,25,Ariyalur,Tamil Nadu,27,13,7,3,4
2015-06-17,2015,6,25,Ariyalur,Tamil Nadu,48,21,12,6,9
2015-06-18,2015,6,25,Ariyalur,Tamil Nadu,26,12,7,3,4
2015-06-19,2015,6,25,Ariyalur,Tamil Nadu,16,6,4,2,4
2015-06-20,2015,6,25,Ariyalur,Tamil Nadu,14,6,3,1,4
2015-06-21,2015,6,25,Ariyalur,Tamil Nadu,36,16,7,4,9
2015-06-22,2015,6,26,Ariyalur,Tamil Nadu,39,13,10,5,11
2015-06-23,2015,6,26,Ariyalur,Tamil Nadu,48,19,10,6,13
2015-06-24,2015,6,26,Ariyalur,Tamil Nadu,25,10,5,3,7
2015-06-25,2015,6,26,Ariyalur,Tamil Nadu,53,22,13,5,13
2015-06-26,2015,6,26,Ariyalur,Tamil Nadu,56,20,16,7,13
2015-06-27,2015,6,26,Ariyalur,Tamil Nadu,22,8,5,2,7
2015-06-28,2015,6,26,Ariyalur,Tamil Nadu,34,12,9,4,9
2015-06-29,2015,6,27,Ariyalur,Tamil Nadu,17,8,4,1,4
2015-06-30,2015,6,27,Ariyalur,Tamil Nadu,48,19,10,6,13
2015-07-01,2015,7,27,Ariyalur,Tamil Nadu,25,10,7,2,6
2015-07-02,2015,7,27,Ariyalur,Tamil Nadu,20,8,5,2,5
2015-07-03,2015,7,27,Ariyalur,Tamil Nadu,20,9,4,2,5
2015-07-04,2015,7,27,Ariyalur,Tamil Nadu,24,9,6,2,7
2015-07-05,2015,7,27,Ariyalur,Tamil Nadu,33,13,8,4,8
2015-07-06,2015,7,28,Ariyalur,Tamil Nadu,38,16,11,4,7
2015-07-07,2015,7,28,Ariyalur,Tamil Nadu,33,11,9,4,9
2015-07-08,2015,7,28,Ariyalur,Tamil Nadu,14,5,3,1,5
2015-07-09,2015,7,28,Ariyalur,Tamil Nadu,41,15,8,5,13
2015-07-10,2015,7,28,Ariyalur,Tamil Nadu,22,8,5,2,7
2015-07-11,2015,7,28,Ariyalur,Tamil Nadu,30,12,7,3,8
2015-07-12,2015,7,28,Ariyalur,Tamil Nadu,12,4,3,1,4
2015-07-13,2015,7,29,Ariyalur,Tamil Nadu,34,13,6,3,12
2015-07-14,2015,7,29,Ariyalur,Tamil Nadu,35,14,8,3,10
2015-07-15,2015,7,29,Ariyalur,Tamil Nadu,38,13,7,5,13
2015-07-16,2015,7,29,Ariyalur,Tamil Nadu,18,7,4,2,5
2015-07-17,2015,7,29,Ariyalur,Tamil Nadu,40,19,11,4,6
2015-07-18,2015,7,29,Ariyalur,Tamil Nadu,14,5,3,1,5
2015-07-19,2015,7,29,Ariyalur,Tamil Nadu,18,6,3,1,8
2015-07-20,2015,7,30,Ariyalur,Tamil Nadu,18,8,5,2,3
2015-07-21,2015,7,30,Ariyalur,Tamil Nadu,23,9,5,2,7
2015-07-22,2015,7,30,Ariyalur,Tamil Nadu,18,8,4,2,4
2015-07-23,2015,7,30,Ariyalur,Tamil Nadu,19,8,4,2,5
2015-07-24,2015,7,30,Ariyalur,Tamil Nadu,43,18,9,5,11
2015-07-25,2015,7,30,Ariyalur,Tamil Nadu,24,10,6,2,6
2015-07-26,2015,7,30,Ariyalur,Tamil Nadu,31,12,6,4,9
2015-07-27,2015,7,31,Ariyalur,Tamil Nadu,18,6,5,1,6
2015-07-28,2015,7,31,Ariyalur,Tamil Nadu,17,6,4,2,5
2015-07-29,2015,7,31,Ariyalur,Tamil Nadu,26,9,5,3,9
2015-07-30,2015,7,31,Ariyalur,Tamil Nadu,21,8,5,2,6
2015-07-31,2015,7,31,Ariyalur,Tamil Nadu,27,11,6,3,7
2015-08-01,2015,8,31,Ariyalur,Tamil Nadu,12,5,2,1,4
2015-08-02,2015,8,31,Ariyalur,Tamil Nadu,31,14,7,4,6
2015-08-03,2015,8,32,Ariyalur,Tamil Nadu,47,20,11,6,10
2015-08-04,2015,8,32,Ariyalur,Tamil Nadu,32,13,7,4,8
2015-08-05,2015,8,32,Ariyalur,Tamil Nadu,33,11,8,4,10
2015-08-06,2015,8,32,Ariyalur,Tamil Nadu,16,6,3,1,6
2015-08-07,2015,8,32,Ariyalur,Tamil Nadu,15,6,3,1,5
2015-08-08,2015,8,32,Ariyalur,Tamil Nadu,12,4,3,1,4
2015-08-09,2015,8,32,Ariyalur,Tamil Nadu,22,8,6,2,6
2015-08-10,2015,8,33,Ariyalur,Tamil Nadu,25,10,5,3,7
2015-08-11,2015,8,33,Ariyalur,Tamil Nadu,35,16,9,4,6
2015-08-12,2015,8,33,Ariyalur,Tamil Nadu,23,11,6,3,3
2015-08-13,2015,8,33,Ariyalur,Tamil Nadu,26,9,7,3,7
2015-08-14,2015,8,33,Ariyalur,Tamil Nadu,37,15,8,3,11
2015-08-15,2015,8,33,Ariyalur,Tamil Nadu,16,7,4,2,3
2015-08-16,2015,8,33,Ariyalur,Tamil Nadu,29,10,7,3,9
2015-08-17,2015,8,34,Ariyalur,Tamil Nadu,18,7,4,1,6
2015-08-18,2015,8,34,Ariyalur,Tamil Nadu,17,7,4,2,4
2015-08-19,2015,8,34,Ariyalur,Tamil Nadu,19,8,5,2,4
2015-08-20,2015,8,34,Ariyalur,Tamil Nadu,32,13,9,3,7
2015-08-21,2015,8,34,Ariyalur,Tamil Nadu,19,6,5,2,6
2015-08-22,2015,8,34,Ariyalur,Tamil Nadu,13,4,2,1,6
2015-08-23,2015,8,34,Ariyalur,Tamil Nadu,37,16,10,5,6
2015-08-24,2015,8,35,Ariyalur,Tamil Nadu,21,8,5,2,6
2015-08-25,2015,8,35,Ariyalur,Tamil Nadu,27,10,6,3,8
2015-08-26,2015,8,35,Ariyalur,Tamil Nadu,45,17,13,4,11
2015-08-27,2015,8,35,Ariyalur,Tamil Nadu,28,12,6,4,6
2015-08-28,2015,8,35,Ariyalur,Tamil Nadu,48,21,14,6,7
2015-08-29,2015,8,35,Ariyalur,Tamil Nadu,31,13,6,4,8
2015-08-30,2015,8,35,Ariyalur,Tamil Nadu,34,16,7,4,7
2015-08-31,2015,8,36,Ariyalur,Tamil Nadu,25,9,5,2,9
2015-09-01,2015,9,36,Ariyalur,Tamil Nadu,18,8,4,1,5
2015-09-02,2015,9,36,Ariyalur,Tamil Nadu,26,12,5,3,6
2015-09-03,2015,9,36,Ariyalur,Tamil Nadu,31,15,8,3,5
2015-09-04,2015,9,36,Ariyalur,Tamil Nadu,24,10,6,3,5
2015-09-05,2015,9,36,Ariyalur,Tamil Nadu,13,5,2,1,5
2015-09-06,2015,9,36,Ariyalur,Tamil Nadu,16,7,4,2,3
2015-09-07,2015,9,37,Ariyalur,Tamil Nadu,22,8,4,2,8
2015-09-08,2015,9,37,Ariyalur,Tamil Nadu,45,19,9,4,13
2015-09-09,2015,9,37,Ariyalur,Tamil Nadu,30,14,6,4,6
2015-09-10,2015,9,37,Ariyalur,Tamil Nadu,45,21,10,6,8
2015-09-11,2015,9,37,Ariyalur,Tamil Nadu,45,20,11,6,8
2015-09-12,2015,9,37,Ariyalur,Tamil Nadu,39,18,10,5,6
2015-09-13,2015,9,37,Ariyalur,Tamil Nadu,37,13,9,4,11
2015-09-14,2015,9,38,Ariyalur,Tamil Nadu,21,10,4,2,5
2015-09-15,2015,9,38,Ariyalur,Tamil Nadu,27,10,7,2,8
2015-09-16,2015,9,38,Ariyalur,Tamil Nadu,17,7,3,1,6
2015-09-17,2015,9,38,Ariyalur,Tamil Nadu,26,11,5,3,7
2015-09-18,2015,9,38,Ariyalur,Tamil Nadu,43,15,9,4,15
2015-09-19,2015,9,38,Ariyalur,Tamil Nadu,22,8,5,3,6
2015-09-20,2015,9,38,Ariyalur,Tamil Nadu,39,14,10,5,10
2015-09-21,2015,9,39,Ariyalur,Tamil Nadu,33,15,8,3,7
2015-09-22,2015,9,39,Ariyalur,Tamil Nadu,32,15,9,4,4
2015-09-23,2015,9,39,Ariyalur,Tamil Nadu,19,8,4,1,6
2015-09-24,2015,9,39,Ariyalur,Tamil Nadu,14,5,3,1,5
2015-09-25,2015,9,39,Ariyalur,Tamil Nadu,35,14,10,3,8
2015-09-26,2015,9,39,Ariyalur,Tamil Nadu,18,8,4,1,5
2015-09-27,2015,9,39,Ariyalur,Tamil Nadu,14,5,2,2,5
2015-09-28,2015,9,40,Ariyalur,Tamil Nadu,39,16,11,4,8
2015-09-29,2015,9,40,Ariyalur,Tamil Nadu,46,21,11,5,9
2015-09-30,2015,9,40,Ariyalur,Tamil Nadu,44,16,9,4,15
2015-10-01,2015,10,40,Ariyalur,Tamil Nadu,66,28,16,8,14
2015-10-02,2015,10,40,Ariyalur,Tamil Nadu,62,29,17,8,8
2015-10-03,2015,10,40,Ariyalur,Tamil Nadu,43,15,12,4,12
2015-10-04,2015,10,40,Ariyalur,Tamil Nadu,66,29,18,8,11
2015-10-05,2015,10,41,Ariyalur,Tamil Nadu,46,20,10,5,11
2015-10-06,2015,10,41,Ariyalur,Tamil Nadu,50,17,12,5,16
2015-10-07,2015,10,41,Ariyalur,Tamil Nadu,59,29,12,7,11
2015-10-08,2015,10,41,Ariyalur,Tamil Nadu,69,29,17,7,16
2015-10-09,2015,10,41,Ariyalur,Tamil Nadu,47,23,13,6,5
2015-10-10,2015,10,41,Ariyalur,Tamil Nadu,44,16,13,4,11
2015-10-11,2015,10,41,Ariyalur,Tamil Nadu,46,17,10,6,13
2015-10-12,2015,10,42,Ariyalur,Tamil Nadu,55,23,11,6,15
2015-10-13,2015,10,42,Ariyalur,Tamil Nadu,26,10,6,3,7
2015-10-14,2015,10,42,Ariyalur,Tamil Nadu,69,32,15,7,15
2015-10-15,2015,10,42,Ariyalur,Tamil Nadu,56,20,16,7,13
2015-10-16,2015,10,42,Ariyalur,Tamil Nadu,32,13,8,4,7
2015-10-17,2015,10,42,Ariyalur,Tamil Nadu,53,24,13,6,10
2015-10-18,2015,10,42,Ariyalur,Tamil Nadu,38,16,10,4,8
2015-10-19,2015,10,43,Ariyalur,Tamil Nadu,23,8,5,3,7
2015-10-20,2015,10,43,Ariyalur,Tamil Nadu,38,14,10,4,10
2015-10-21,2015,10,43,Ariyalur,Tamil Nadu,58,26,16,7,9
2015-10-22,2015,10,43,Ariyalur,Tamil Nadu,47,16,12,5,14
2015-10-23,2015,10,43,Ariyalur,Tamil Nadu,69,30,15,9,15
2015-10-24,2015,10,43,Ariyalur,Tamil Nadu,58,22,16,6,14
2015-10-25,2015,10,43,Ariyalur,Tamil Nadu,50,23,12,5,10
2015-10-26,2015,10,44,Ariyalur,Tamil Nadu,45,19,11,5,10
2015-10-27,2015,10,44,Ariyalur,Tamil Nadu,36,16,8,5,7
2015-10-28,2015,10,44,Ariyalur,Tamil Nadu,27,12,8,3,4
2015-10-29,2015,10,44,Ariyalur,Tamil Nadu,62,27,16,8,11
2015-10-30,2015,10,44,Ariyalur,Tamil Nadu,29,11,7,3,8
2015-10-31,2015,10,44,Ariyalur,Tamil Nadu,43,16,12,5,10
2015-11-01,2015,11,44,Ariyalur,Tamil Nadu,52,21,13,6,12
2015-11-02,2015,11,45,Ariyalur,Tamil Nadu,61,22,14,9,16
2015-11-03,2015,11,45,Ariyalur,Tamil Nadu,29,10,7,3,9
2015-11-04,2015,11,45,Ariyalur,Tamil Nadu,33,13,7,3,10
2015-11-05,2015,11,45,Ariyalur,Tamil Nadu,44,18,11,4,11
2015-11-06,2015,11,45,Ariyalur,Tamil Nadu,29,12,7,3,7
2015-11-07,2015,11,45,Ariyalur,Tamil Nadu,47,20,11,5,11
2015-11-08,2015,11,45,Ariyalur,Tamil Nadu,47,22,12,6,7
2015-11-09,2015,11,46,Ariyalur,Tamil Nadu,42,14,12,4,12
2015-11-10,2015,11,46,Ariyalur,Tamil Nadu,38,13,8,4,13
2015-11-11,2015,11,46,Ariyalur,Tamil Nadu,49,17,12,6,14
2015-11-12,2015,11,46,Ariyalur,Tamil Nadu,69,34,13,10,12
2015-11-13,2015,11,46,Ariyalur,Tamil Nadu,62,27,13,7,15
2015-11-14,2015,11,46,Ariyalur,Tamil Nadu,67,24,13,7,23
2015-11-15,2015,11,46,Ariyalur,Tamil Nadu,64,29,13,7,15
2015-11-16,2015,11,47,Ariyalur,Tamil Nadu,62,25,17,6,14
2015-11-17,2015,11,47,Ariyalur,Tamil Nadu,27,13,6,2,6
2015-11-18,2015,11,47,Ariyalur,Tamil Nadu,53,25,13,5,10
2015-11-19,2015,11,47,Ariyalur,Tamil Nadu,38,18,9,5,6
2015-11-20,2015,11,47,Ariyalur,Tamil Nadu,53,23,11,7,12
2015-11-21,2015,11,47,Ariyalur,Tamil Nadu,58,23,16,8,11
2015-11-22,2015,11,47,Ariyalur,Tamil Nadu,41,17,11,5,8
2015-11-23,2015,11,48,Ariyalur,Tamil Nadu,74,36,18,10,10
2015-11-24,2015,11,48,Ariyalur,Tamil Nadu,47,19,13,4,11
2015-11-25,2015,11,48,Ariyalur,Tamil Nadu,64,25,16,8,15
2015-11-26,2015,11,48,Ariyalur,Tamil Nadu,57,23,13,6,15
2015-11-27,2015,11,48,Ariyalur,Tamil Nadu,52,18,13,5,16
2015-11-28,2015,11,48,Ariyalur,Tamil Nadu,55,23,13,7,12
2015-11-29,2015,11,48,Ariyalur,Tamil Nadu,46,22,12,4,8
2015-11-30,2015,11,49,Ariyalur,Tamil Nadu,29,12,7,3,7
2015-12-01,2015,12,49,Ariyalur,Tamil Nadu,48,22,13,6,7
2015-12-02,2015,12,49,Ariyalur,Tamil Nadu,52,18,13,7,14
2015-12-03,2015,12,49,Ariyalur,Tamil Nadu,65,26,14,8,17
2015-12-04,2015,12,49,Ariyalur,Tamil Nadu,46,19,10,5,12
2015-12-05,2015,12,49,Ariyalur,Tamil Nadu,86,36,22,8,20
2015-12-06,2015,12,49,Ariyalur,Tamil Nadu,80,31,19,8,22
2015-12-07,2015,12,50,Ariyalur,Tamil Nadu,41,19,11,4,7
2015-12-08,2015,12,50,Ariyalur,Tamil Nadu,76,28,22,9,17
2015-12-09,2015,12,50,Ariyalur,Tamil Nadu,69,29,14,9,17
2015-12-10,2015,12,50,Ariyalur,Tamil Nadu,69,30,17,8,14
2015-12-11,2015,12,50,Ariyalur,Tamil Nadu,78,34,18,11,15
2015-12-12,2015,12,50,Ariyalur,Tamil Nadu,35,15,7,4,9
2015-12-13,2015,12,50,Ariyalur,Tamil Nadu,65,26,17,6,16
