date,year,month,week_number,day_of_year,district,state,rainfall_mm
2015-03-10,2015,3,11,69,Ariyalur,Tamil Nadu,0.15
2015-03-11,2015,3,11,70,Ariyalur,Tamil Nadu,8.67
2015-03-12,2015,3,11,71,Ariyalur,Tamil Nadu,2.96
2015-03-13,2015,3,11,72,Ariyalur,Tamil Nadu,0.44
2015-03-14,2015,3,11,73,Ariyalur,Tamil Nadu,0.01
2015-03-15,2015,3,11,74,Ariyalur,Tamil Nadu,3.38
2015-03-16,2015,3,12,75,Ariyalur,Tamil Nadu,2.45
2015-03-17,2015,3,12,76,Ariyalur,Tamil Nadu,2.61
2015-03-18,2015,3,12,77,Ariyalur,Tamil Nadu,2.95
2015-03-19,2015,3,12,78,Ariyalur,Tamil Nadu,0.15
2015-03-20,2015,3,12,79,Ariyalur,Tamil Nadu,0.89
2015-03-21,2015,3,12,80,Ariyalur,Tamil Nadu,0.25
2015-03-22,2015,3,12,81,Ariyalur,Tamil Nadu,3.98
2015-03-23,2015,3,13,82,Ariyalur,Tamil Nadu,1.95
2015-03-24,2015,3,13,83,Ariyalur,Tamil Nadu,0.8
2015-03-25,2015,3,13,84,Ariyalur,Tamil Nadu,0.13
2015-03-26,2015,3,13,85,Ariyalur,Tamil Nadu,0.74
2015-03-27,2015,3,13,86,Ariyalur,Tamil Nadu,0.79
2015-03-28,2015,3,13,87,Ariyalur,Tamil Nadu,2.62
2015-03-29,2015,3,13,88,Ariyalur,Tamil Nadu,2.03
2015-03-30,2015,3,14,89,Ariyalur,Tamil Nadu,4.36
2015-03-31,2015,3,14,90,Ariyalur,Tamil Nadu,1.28
2015-04-01,2015,4,14,91,Ariyalur,Tamil Nadu,0.13
2015-04-02,2015,4,14,92,Ariyalur,Tamil Nadu,1.25
2015-04-03,2015,4,14,93,Ariyalur,Tamil Nadu,1.43
2015-04-04,2015,4,14,94,Ariyalur,Tamil Nadu,0.82
2015-04-05,2015,4,14,95,Ariyalur,Tamil Nadu,1.47
2015-04-06,2015,4,15,96,Ariyalur,Tamil Nadu,0.68
2015-04-07,2015,4,15,97,Ariyalur,Tamil Nadu,0.74
2015-04-08,2015,4,15,98,Ariyalur,Tamil Nadu,0.56
2015-04-09,2015,4,15,99,Ariyalur,Tamil Nadu,0.03
2015-04-10,2015,4,15,100,Ariyalur,Tamil Nadu,0.11
2015-04-11,2015,4,15,101,Ariyalur,Tamil Nadu,0.03
2015-04-12,2015,4,15,102,Ariyalur,Tamil Nadu,1.01
2015-04-13,2015,4,16,103,Ariyalur,Tamil Nadu,0.38
2015-04-14,2015,4,16,104,Ariyalur,Tamil Nadu,0.71
2015-04-15,2015,4,16,105,Ariyalur,Tamil Nadu,2.38
2015-04-16,2015,4,16,106,Ariyalur,Tamil Nadu,0.29
2015-04-17,2015,4,16,107,Ariyalur,Tamil Nadu,0.53
2015-04-18,2015,4,16,108,Ariyalur,Tamil Nadu,1.41
2015-04-19,2015,4,16,109,Ariyalur,Tamil Nadu,0.26
2015-04-20,2015,4,17,110,Ariyalur,Tamil Nadu,0.08
2015-04-21,2015,4,17,111,Ariyalur,Tamil Nadu,0.34
2015-04-22,2015,4,17,112,Ariyalur,Tamil Nadu,0.18
2015-04-23,2015,4,17,113,Ariyalur,Tamil Nadu,2.65
2015-04-24,2015,4,17,114,Ariyalur,Tamil Nadu,1.65
2015-04-25,2015,4,17,115,Ariyalur,Tamil Nadu,1.0
2015-04-26,2015,4,17,116,Ariyalur,Tamil Nadu,2.05
2015-04-27,2015,4,18,117,Ariyalur,Tamil Nadu,1.63
2015-04-28,2015,4,18,118,Ariyalur,Tamil Nadu,0.21
2015-04-29,2015,4,18,119,Ariyalur,Tamil Nadu,2.23
2015-04-30,2015,4,18,120,Ariyalur,Tamil Nadu,0.78
2015-05-01,2015,5,18,121,Ariyalur,Tamil Nadu,1.65
2015-05-02,2015,5,18,122,Ariyalur,Tamil Nadu,2.26
2015-05-03,2015,5,18,123,Ariyalur,Tamil Nadu,0.38
2015-05-04,2015,5,19,124,Ariyalur,Tamil Nadu,0.12
2015-05-05,2015,5,19,125,Ariyalur,Tamil Nadu,0.26
2015-05-06,2015,5,19,126,Ariyalur,Tamil Nadu,0.56
2015-05-07,2015,5,19,127,Ariyalur,Tamil Nadu,1.7
2015-05-08,2015,5,19,128,Ariyalur,Tamil Nadu,1.97
2015-05-09,2015,5,19,129,Ariyalur,Tamil Nadu,0.01
2015-05-10,2015,5,19,130,Ariyalur,Tamil Nadu,0.71
2015-05-11,2015,5,20,131,Ariyalur,Tamil Nadu,0.54
2015-05-12,2015,5,20,132,Ariyalur,Tamil Nadu,0.25
2015-05-13,2015,5,20,133,Ariyalur,Tamil Nadu,0.13
2015-05-14,2015,5,20,134,Ariyalur,Tamil Nadu,0.41
2015-05-15,2015,5,20,135,Ariyalur,Tamil Nadu,2.86
2015-05-16,2015,5,20,136,Ariyalur,Tamil Nadu,0.39
2015-05-17,2015,5,20,137,Ariyalur,Tamil Nadu,0.73
2015-05-18,2015,5,21,138,Ariyalur,Tamil Nadu,1.21
2015-05-19,2015,5,21,139,Ariyalur,Tamil Nadu,0.45
2015-05-20,2015,5,21,140,Ariyalur,Tamil Nadu,3.57
2015-05-21,2015,5,21,141,Ariyalur,Tamil Nadu,3.28
2015-05-22,2015,5,21,142,Ariyalur,Tamil Nadu,0.29
2015-05-23,2015,5,21,143,Ariyalur,Tamil Nadu,0.69
2015-05-24,2015,5,21,144,Ariyalur,Tamil Nadu,0.36
2015-05-25,2015,5,22,145,Ariyalur,Tamil Nadu,0.34
2015-05-26,2015,5,22,146,Ariyalur,Tamil Nadu,0.04
2015-05-27,2015,5,22,147,Ariyalur,Tamil Nadu,0.94
2015-05-28,2015,5,22,148,Ariyalur,Tamil Nadu,0.7
2015-05-29,2015,5,22,149,Ariyalur,Tamil Nadu,0.05
2015-05-30,2015,5,22,150,Ariyalur,Tamil Nadu,0.33
2015-05-31,2015,5,22,151,Ariyalur,Tamil Nadu,2.39
2015-06-01,2015,6,23,152,Ariyalur,Tamil Nadu,2.19
2015-06-02,2015,6,23,153,Ariyalur,Tamil Nadu,1.25
2015-06-03,2015,6,23,154,Ariyalur,Tamil Nadu,5.38
2015-06-04,2015,6,23,155,Ariyalur,Tamil Nadu,33.95
2015-06-05,2015,6,23,156,Ariyalur,Tamil Nadu,2.22
2015-06-06,2015,6,23,157,Ariyalur,Tamil Nadu,8.92
2015-06-07,2015,6,23,158,Ariyalur,Tamil Nadu,11.47
2015-06-08,2015,6,24,159,Ariyalur,Tamil Nadu,2.17
2015-06-09,2015,6,24,160,Ariyalur,Tamil Nadu,10.42
2015-06-10,2015,6,24,161,Ariyalur,Tamil Nadu,3.67
2015-06-11,2015,6,24,162,Ariyalur,Tamil Nadu,8.0
2015-06-12,2015,6,24,163,Ariyalur,Tamil Nadu,8.03
2015-06-13,2015,6,24,164,Ariyalur,Tamil Nadu,6.14
2015-06-14,2015,6,24,165,Ariyalur,Tamil Nadu,0.76
2015-06-15,2015,6,25,166,Ariyalur,Tamil Nadu,14.43
2015-06-16,2015,6,25,167,Ariyalur,Tamil Nadu,3.09
2015-06-17,2015,6,25,168,Ariyalur,Tamil Nadu,1.65
2015-06-18,2015,6,25,169,Ariyalur,Tamil Nadu,0.33
2015-06-19,2015,6,25,170,Ariyalur,Tamil Nadu,7.15
2015-06-20,2015,6,25,171,Ariyalur,Tamil Nadu,9.05
2015-06-21,2015,6,25,172,Ariyalur,Tamil Nadu,0.13
2015-06-22,2015,6,26,173,Ariyalur,Tamil Nadu,5.74
2015-06-23,2015,6,26,174,Ariyalur,Tamil Nadu,2.05
2015-06-24,2015,6,26,175,Ariyalur,Tamil Nadu,8.29
2015-06-25,2015,6,26,176,Ariyalur,Tamil Nadu,1.53
2015-06-26,2015,6,26,177,Ariyalur,Tamil Nadu,9.39
2015-06-27,2015,6,26,178,Ariyalur,Tamil Nadu,3.91
2015-06-28,2015,6,26,179,Ariyalur,Tamil Nadu,22.08
2015-06-29,2015,6,27,180,Ariyalur,Tamil Nadu,1.18
2015-06-30,2015,6,27,181,Ariyalur,Tamil Nadu,3.34
2015-07-01,2015,7,27,182,Ariyalur,Tamil Nadu,0.96
2015-07-02,2015,7,27,183,Ariyalur,Tamil Nadu,20.69
2015-07-03,2015,7,27,184,Ariyalur,Tamil Nadu,16.79
2015-07-04,2015,7,27,185,Ariyalur,Tamil Nadu,2.39
2015-07-05,2015,7,27,186,Ariyalur,Tamil Nadu,8.63
2015-07-06,2015,7,28,187,Ariyalur,Tamil Nadu,13.6
2015-07-07,2015,7,28,188,Ariyalur,Tamil Nadu,6.48
2015-07-08,2015,7,28,189,Ariyalur,Tamil Nadu,6.03
2015-07-09,2015,7,28,190,Ariyalur,Tamil Nadu,2.22
2015-07-10,2015,7,28,191,Ariyalur,Tamil Nadu,0.78
2015-07-11,2015,7,28,192,Ariyalur,Tamil Nadu,18.2
2015-07-12,2015,7,28,193,Ariyalur,Tamil Nadu,18.45
2015-07-13,2015,7,29,194,Ariyalur,Tamil Nadu,8.02
2015-07-14,2015,7,29,195,Ariyalur,Tamil Nadu,3.31
2015-07-15,2015,7,29,196,Ariyalur,Tamil Nadu,3.44
2015-07-16,2015,7,29,197,Ariyalur,Tamil Nadu,10.36
2015-07-17,2015,7,29,198,Ariyalur,Tamil Nadu,18.19
2015-07-18,2015,7,29,199,Ariyalur,Tamil Nadu,17.45
2015-07-19,2015,7,29,200,Ariyalur,Tamil Nadu,12.11
2015-07-20,2015,7,30,201,Ariyalur,Tamil Nadu,8.22
2015-07-21,2015,7,30,202,Ariyalur,Tamil Nadu,0.7
2015-07-22,2015,7,30,203,Ariyalur,Tamil Nadu,1.41
2015-07-23,2015,7,30,204,Ariyalur,Tamil Nadu,18.31
2015-07-24,2015,7,30,205,Ariyalur,Tamil Nadu,7.46
2015-07-25,2015,7,30,206,Ariyalur,Tamil Nadu,0.07
2015-07-26,2015,7,30,207,Ariyalur,Tamil Nadu,0.86
2015-07-27,2015,7,31,208,Ariyalur,Tamil Nadu,8.71
2015-07-28,2015,7,31,209,Ariyalur,Tamil Nadu,0.04
2015-07-29,2015,7,31,210,Ariyalur,Tamil Nadu,1.4
2015-07-30,2015,7,31,211,Ariyalur,Tamil Nadu,6.37
2015-07-31,2015,7,31,212,Ariyalur,Tamil Nadu,9.42
2015-08-01,2015,8,31,213,Ariyalur,Tamil Nadu,8.44
2015-08-02,2015,8,31,214,Ariyalur,Tamil Nadu,2.03
2015-08-03,2015,8,32,215,Ariyalur,Tamil Nadu,9.96
2015-08-04,2015,8,32,216,Ariyalur,Tamil Nadu,2.17
2015-08-05,2015,8,32,217,Ariyalur,Tamil Nadu,3.15
2015-08-06,2015,8,32,218,Ariyalur,Tamil Nadu,10.98
2015-08-07,2015,8,32,219,Ariyalur,Tamil Nadu,8.39
2015-08-08,2015,8,32,220,Ariyalur,Tamil Nadu,15.14
2015-08-09,2015,8,32,221,Ariyalur,Tamil Nadu,8.57
2015-08-10,2015,8,33,222,Ariyalur,Tamil Nadu,6.72
2015-08-11,2015,8,33,223,Ariyalur,Tamil Nadu,0.79
2015-08-12,2015,8,33,224,Ariyalur,Tamil Nadu,3.67
2015-08-13,2015,8,33,225,Ariyalur,Tamil Nadu,2.47
2015-08-14,2015,8,33,226,Ariyalur,Tamil Nadu,2.24
2015-08-15,2015,8,33,227,Ariyalur,Tamil Nadu,28.9
2015-08-16,2015,8,33,228,Ariyalur,Tamil Nadu,4.0
2015-08-17,2015,8,34,229,Ariyalur,Tamil Nadu,17.81
2015-08-18,2015,8,34,230,Ariyalur,Tamil Nadu,7.98
2015-08-19,2015,8,34,231,Ariyalur,Tamil Nadu,12.67
2015-08-20,2015,8,34,232,Ariyalur,Tamil Nadu,5.59
2015-08-21,2015,8,34,233,Ariyalur,Tamil Nadu,6.88
2015-08-22,2015,8,34,234,Ariyalur,Tamil Nadu,5.43
2015-08-23,2015,8,34,235,Ariyalur,Tamil Nadu,1.74
2015-08-24,2015,8,35,236,Ariyalur,Tamil Nadu,10.25
2015-08-25,2015,8,35,237,Ariyalur,Tamil Nadu,2.64
2015-08-26,2015,8,35,238,Ariyalur,Tamil Nadu,0.2
2015-08-27,2015,8,35,239,Ariyalur,Tamil Nadu,8.3
2015-08-28,2015,8,35,240,Ariyalur,Tamil Nadu,1.56
2015-08-29,2015,8,35,241,Ariyalur,Tamil Nadu,22.57
2015-08-30,2015,8,35,242,Ariyalur,Tamil Nadu,24.62
2015-08-31,2015,8,36,243,Ariyalur,Tamil Nadu,19.71
2015-09-01,2015,9,36,244,Ariyalur,Tamil Nadu,3.7
2015-09-02,2015,9,36,245,Ariyalur,Tamil Nadu,0.12
2015-09-03,2015,9,36,246,Ariyalur,Tamil Nadu,21.08
2015-09-04,2015,9,36,247,Ariyalur,Tamil Nadu,4.47
2015-09-05,2015,9,36,248,Ariyalur,Tamil Nadu,27.21
2015-09-06,2015,9,36,249,Ariyalur,Tamil Nadu,26.51
2015-09-07,2015,9,37,250,Ariyalur,Tamil Nadu,15.34
2015-09-08,2015,9,37,251,Ariyalur,Tamil Nadu,2.79
2015-09-09,2015,9,37,252,Ariyalur,Tamil Nadu,3.89
2015-09-10,2015,9,37,253,Ariyalur,Tamil Nadu,15.24
2015-09-11,2015,9,37,254,Ariyalur,Tamil Nadu,3.05
2015-09-12,2015,9,37,255,Ariyalur,Tamil Nadu,1.49
2015-09-13,2015,9,37,256,Ariyalur,Tamil Nadu,6.51
2015-09-14,2015,9,38,257,Ariyalur,Tamil Nadu,22.01
2015-09-15,2015,9,38,258,Ariyalur,Tamil Nadu,9.53
2015-09-16,2015,9,38,259,Ariyalur,Tamil Nadu,6.75
2015-09-17,2015,9,38,260,Ariyalur,Tamil Nadu,0.82
2015-09-18,2015,9,38,261,Ariyalur,Tamil Nadu,7.64
2015-09-19,2015,9,38,262,Ariyalur,Tamil Nadu,36.88
2015-09-20,2015,9,38,263,Ariyalur,Tamil Nadu,1.21
2015-09-21,2015,9,39,264,Ariyalur,Tamil Nadu,5.84
2015-09-22,2015,9,39,265,Ariyalur,Tamil Nadu,16.79
2015-09-23,2015,9,39,266,Ariyalur,Tamil Nadu,10.8
2015-09-24,2015,9,39,267,Ariyalur,Tamil Nadu,9.55
2015-09-25,2015,9,39,268,Ariyalur,Tamil Nadu,9.7
2015-09-26,2015,9,39,269,Ariyalur,Tamil Nadu,3.56
2015-09-27,2015,9,39,270,Ariyalur,Tamil Nadu,2.78
2015-09-28,2015,9,40,271,Ariyalur,Tamil Nadu,13.26
2015-09-29,2015,9,40,272,Ariyalur,Tamil Nadu,13.29
2015-09-30,2015,9,40,273,Ariyalur,Tamil Nadu,16.14
2015-10-01,2015,10,40,274,Ariyalur,Tamil Nadu,29.34
2015-10-02,2015,10,40,275,Ariyalur,Tamil Nadu,8.59
2015-10-03,2015,10,40,276,Ariyalur,Tamil Nadu,8.35
2015-10-04,2015,10,40,277,Ariyalur,Tamil Nadu,19.21
2015-10-05,2015,10,41,278,Ariyalur,Tamil Nadu,12.6
2015-10-06,2015,10,41,279,Ariyalur,Tamil Nadu,14.53
2015-10-07,2015,10,41,280,Ariyalur,Tamil Nadu,19.06
2015-10-08,2015,10,41,281,Ariyalur,Tamil Nadu,26.49
2015-10-09,2015,10,41,282,Ariyalur,Tamil Nadu,4.95
2015-10-10,2015,10,41,283,Ariyalur,Tamil Nadu,5.65
2015-10-11,2015,10,41,284,Ariyalur,Tamil Nadu,1.18
2015-10-12,2015,10,42,285,Ariyalur,Tamil Nadu,10.36
2015-10-13,2015,10,42,286,Ariyalur,Tamil Nadu,0.44
2015-10-14,2015,10,42,287,Ariyalur,Tamil Nadu,7.52
2015-10-15,2015,10,42,288,Ariyalur,Tamil Nadu,9.39
2015-10-16,2015,10,42,289,Ariyalur,Tamil Nadu,4.05
2015-10-17,2015,10,42,290,Ariyalur,Tamil Nadu,10.72
2015-10-18,2015,10,42,291,Ariyalur,Tamil Nadu,0.37
2015-10-19,2015,10,43,292,Ariyalur,Tamil Nadu,0.46
2015-10-20,2015,10,43,293,Ariyalur,Tamil Nadu,20.75
2015-10-21,2015,10,43,294,Ariyalur,Tamil Nadu,5.36
2015-10-22,2015,10,43,295,Ariyalur,Tamil Nadu,1.63
2015-10-23,2015,10,43,296,Ariyalur,Tamil Nadu,8.86
2015-10-24,2015,10,43,297,Ariyalur,Tamil Nadu,17.64
2015-10-25,2015,10,43,298,Ariyalur,Tamil Nadu,2.92
2015-10-26,2015,10,44,299,Ariyalur,Tamil Nadu,11.7
2015-10-27,2015,10,44,300,Ariyalur,Tamil Nadu,1.07
2015-10-28,2015,10,44,301,Ariyalur,Tamil Nadu,0.64
2015-10-29,2015,10,44,302,Ariyalur,Tamil Nadu,9.09
2015-10-30,2015,10,44,303,Ariyalur,Tamil Nadu,9.33
2015-10-31,2015,10,44,304,Ariyalur,Tamil Nadu,12.17
2015-11-01,2015,11,44,305,Ariyalur,Tamil Nadu,15.54
2015-11-02,2015,11,45,306,Ariyalur,Tamil Nadu,44.68
2015-11-03,2015,11,45,307,Ariyalur,Tamil Nadu,8.72
2015-11-04,2015,11,45,308,Ariyalur,Tamil Nadu,4.68
2015-11-05,2015,11,45,309,Ariyalur,Tamil Nadu,19.03
2015-11-06,2015,11,45,310,Ariyalur,Tamil Nadu,3.79
2015-11-07,2015,11,45,311,Ariyalur,Tamil Nadu,6.94
2015-11-08,2015,11,45,312,Ariyalur,Tamil Nadu,0.98
2015-11-09,2015,11,46,313,Ariyalur,Tamil Nadu,0.31
2015-11-10,2015,11,46,314,Ariyalur,Tamil Nadu,39.45
2015-11-11,2015,11,46,315,Ariyalur,Tamil Nadu,21.69
2015-11-12,2015,11,46,316,Ariyalur,Tamil Nadu,14.29
2015-11-13,2015,11,46,317,Ariyalur,Tamil Nadu,6.31
2015-11-14,2015,11,46,318,Ariyalur,Tamil Nadu,2.28
2015-11-15,2015,11,46,319,Ariyalur,Tamil Nadu,2.04
2015-11-16,2015,11,47,320,Ariyalur,Tamil Nadu,3.46
2015-11-17,2015,11,47,321,Ariyalur,Tamil Nadu,9.56
2015-11-18,2015,11,47,322,Ariyalur,Tamil Nadu,15.05
2015-11-19,2015,11,47,323,Ariyalur,Tamil Nadu,12.95
2015-11-20,2015,11,47,324,Ariyalur,Tamil Nadu,3.94
2015-11-21,2015,11,47,325,Ariyalur,Tamil Nadu,37.18
2015-11-22,2015,11,47,326,Ariyalur,Tamil Nadu,16.07
2015-11-23,2015,11,48,327,Ariyalur,Tamil Nadu,9.7
2015-11-24,2015,11,48,328,Ariyalur,Tamil Nadu,11.35
2015-11-25,2015,11,48,329,Ariyalur,Tamil Nadu,6.53
2015-11-26,2015,11,48,330,Ariyalur,Tamil Nadu,3.42
2015-11-27,2015,11,48,331,Ariyalur,Tamil Nadu,5.28
2015-11-28,2015,11,48,332,Ariyalur,Tamil Nadu,17.02
2015-11-29,2015,11,48,333,Ariyalur,Tamil Nadu,0.17
2015-11-30,2015,11,49,334,Ariyalur,Tamil Nadu,1.48
2015-12-01,2015,12,49,335,Ariyalur,Tamil Nadu,0.57
2015-12-02,2015,12,49,336,Ariyalur,Tamil Nadu,0.5
2015-12-03,2015,12,49,337,Ariyalur,Tamil Nadu,23.21
2015-12-04,2015,12,49,338,Ariyalur,Tamil Nadu,14.59
2015-12-05,2015,12,49,339,Ariyalur,Tamil Nadu,7.71
2015-12-06,2015,12,49,340,Ariyalur,Tamil Nadu,1.24
2015-12-07,2015,12,50,341,Ariyalur,Tamil Nadu,8.12
2015-12-08,2015,12,50,342,Ariyalur,Tamil Nadu,7.7
2015-12-09,2015,12,50,343,Ariyalur,Tamil Nadu,2.28
2015-12-10,2015,12,50,344,Ariyalur,Tamil Nadu,6.83
2015-12-11,2015,12,50,345,Ariyalur,Tamil Nadu,6.1
2015-12-12,2015,12,50,346,Ariyalur,Tamil Nadu,11.48
2015-12-13,2015,12,50,347,Ariyalur,Tamil Nadu,12.1
2015-12-14,2015,12,51,348,Ariyalur,Tamil Nadu,0.56
2015-12-15,2015,12,51,349,Ariyalur,Tamil Nadu,5.63
2015-12-16,2015,12,51,350,Ariyalur,Tamil Nadu,11.8
2015-12-17,2015,12,51,351,Ariyalur,Tamil Nadu,8.39
2015-12-18,2015,12,51,352,Ariyalur,Tamil Nadu,23.3
2015-12-19,2015,12,51,353,Ariyalur,Tamil Nadu,12.9
2015-12-20,2015,12,51,354,Ariyalur,Tamil Nadu,2.13
2015-12-21,2015,12,52,355,Ariyalur,Tamil Nadu,0.88
2015-12-22,2015,12,52,356,Ariyalur,Tamil Nadu,12.34
2015-12-23,2015,12,52,357,Ariyalur,Tamil Nadu,0.32
2015-12-24,2015,12,52,358,Ariyalur,Tamil Nadu,10.58
2015-12-25,2015,12,52,359,Ariyalur,Tamil Nadu,33.81
2015-12-26,2015,12,52,360,Ariyalur,Tamil Nadu,10.28
2015-12-27,2015,12,52,361,Ariyalur,Tamil Nadu,5.9
2015-12-28,2015,12,53,362,Ariyalur,Tamil Nadu,12.37
2015-12-29,2015,12,53,363,Ariyalur,Tamil Nadu,7.36
2015-12-30,2015,12,53,364,Ariyalur,Tamil Nadu,9.47
2015-12-31,2015,12,53,365,Ariyalur,Tamil Nadu,34.06
2016-01-01,2016,1,53,1,Ariyalur,Tamil Nadu,0.98
2016-01-02,2016,1,53,2,Ariyalur,Tamil Nadu,6.5
2016-01-03,2016,1,53,3,Ariyalur,Tamil Nadu,4.72
2016-01-04,2016,1,1,4,Ariyalur,Tamil Nadu,0.44
2016-01-05,2016,1,1,5,Ariyalur,Tamil Nadu,0.14
2016-01-06,2016,1,1,6,Ariyalur,Tamil Nadu,0.21
2016-01-07,2016,1,1,7,Ariyalur,Tamil Nadu,0.04
2016-01-08,2016,1,1,8,Ariyalur,Tamil Nadu,0.2
2016-01-09,2016,1,1,9,Ariyalur,Tamil Nadu,2.3
2016-01-10,2016,1,1,10,Ariyalur,Tamil Nadu,0.15
2016-01-11,2016,1,2,11,Ariyalur,Tamil Nadu,0.77
2016-01-12,2016,1,2,12,Ariyalur,Tamil Nadu,3.73
2016-01-13,2016,1,2,13,Ariyalur,Tamil Nadu,0.05
2016-01-14,2016,1,2,14,Ariyalur,Tamil Nadu,3.37
2016-01-15,2016,1,2,15,Ariyalur,Tamil Nadu,0.66
2016-01-16,2016,1,2,16,Ariyalur,Tamil Nadu,0.25
2016-01-17,2016,1,2,17,Ariyalur,Tamil Nadu,2.39
2016-01-18,2016,1,3,18,Ariyalur,Tamil Nadu,1.98
2016-01-19,2016,1,3,19,Ariyalur,Tamil Nadu,4.2
2016-01-20,2016,1,3,20,Ariyalur,Tamil Nadu,2.66
2016-01-21,2016,1,3,21,Ariyalur,Tamil Nadu,3.25
2016-01-22,2016,1,3,22,Ariyalur,Tamil Nadu,0.66
